outcode,lat,lon,district
CT1,51.277379,1.085624,Canterbury
CT10,51.363179,1.429178,Thanet
CT11,51.336004,1.413372,Thanet
CT12,51.34369,1.368217,Thanet
CT13,51.265962,1.326402,Dover
CT14,51.216687,1.385093,Dover
CT15,51.172424,1.282125,Dover
CT16,51.143174,1.299123,Dover
CT17,51.129136,1.29389,Dover
CT18,51.115696,1.148829,Dover
CT19,51.089094,1.167869,Folkestone and Hythe
CT2,51.294175,1.080876,Canterbury
CT20,51.079853,1.162053,Folkestone and Hythe
CT21,51.072134,1.075114,Folkestone and Hythe
CT3,51.27658,1.21041,Canterbury
CT4,51.223377,1.065049,Ashford
CT5,51.353281,1.03519,Canterbury
CT6,51.364059,1.129655,Canterbury
CT7,51.37,1.295486,Canterbury
CT8,51.379913,1.336591,Thanet
CT9,51.382554,1.389194,Thanet
ME1,51.370674,0.496481,Medway
ME10,51.343609,0.735818,Swale
ME11,51.412938,0.746737,Swale
ME12,51.422034,0.80439,Swale
ME13,51.304244,0.894609,Ashford
ME14,51.278866,0.543616,Maidstone
ME15,51.253263,0.533958,Maidstone
ME16,51.274068,0.495363,Maidstone
ME17,51.233472,0.61033,Ashford
ME18,51.241631,0.415469,Maidstone
ME19,51.289856,0.408307,Tonbridge and Malling
ME2,51.391378,0.481433,Gravesham
ME20,51.302308,0.461334,Maidstone
ME3,51.435458,0.547168,Gravesham
ME4,51.381798,0.529179,Medway
ME5,51.348725,0.532829,Maidstone
ME6,51.322993,0.434886,Tonbridge and Malling
ME7,51.379751,0.555822,Maidstone
ME8,51.361578,0.597506,Medway
ME9,51.336286,0.721755,Maidstone
TN1,51.134683,0.266554,Tonbridge and Malling
TN10,51.212006,0.284118,Tonbridge and Malling
TN11,51.207355,0.265287,Sevenoaks
TN12,51.172474,0.443804,Maidstone
TN13,51.277038,0.183599,Sevenoaks
TN14,51.298019,0.157163,Bromley
TN15,51.302748,0.274719,Gravesham
TN16,51.292813,0.051972,Bromley
TN17,51.096193,0.537056,Ashford
TN18,51.042449,0.522456,Ashford
TN19,51.002835,0.405932,Rother
TN2,51.133475,0.28171,Tonbridge and Malling
TN20,51.016764,0.250312,Wealden
TN21,50.958068,0.263056,Rother
TN22,50.982011,0.100978,Lewes
TN23,51.139539,0.855832,Ashford
TN24,51.149714,0.888284,Ashford
TN25,51.139818,0.938378,Ashford
TN26,51.095408,0.797746,Ashford
TN27,51.168083,0.693716,Ashford
TN28,50.982924,0.950368,Folkestone and Hythe
TN29,50.994221,0.932335,Folkestone and Hythe
TN3,51.120822,0.24824,Sevenoaks
TN30,51.062725,0.696687,Ashford
TN31,50.962947,0.684569,Folkestone and Hythe
TN32,50.979372,0.490578,Rother
TN33,50.911108,0.474065,Rother
TN34,50.865033,0.582268,Hastings
TN35,50.883525,0.614022,Hastings
TN37,50.873038,0.5573,Hastings
TN38,50.863689,0.543543,Hastings
TN39,50.84684,0.450946,Rother
TN4,51.145477,0.254867,Tonbridge and Malling
TN40,50.845991,0.483168,Rother
TN5,51.05868,0.365553,Rother
TN6,51.052027,0.175727,Wealden
TN7,51.096396,0.102012,Wealden
TN8,51.195245,0.077895,Sevenoaks
TN9,51.19156,0.274475,Tonbridge and Malling
