pc,lat,lon,district
CT11DL,51.287428,1.097533,Canterbury
CT11DN,51.287428,1.099556,Canterbury
CT11DX,51.291295,1.099587,Canterbury
CT11YS,51.284936,1.094827,Canterbury
CT12AA,51.282506,1.081612,Canterbury
CT12BJ,51.274754,1.075041,Canterbury
CT12LU,51.281098,1.085189,Canterbury
CT12NF,51.276002,1.082653,Canterbury
CT12NP,51.278745,1.078219,Canterbury
CT12NX,51.276952,1.077683,Canterbury
CT13AA,51.270046,1.106515,Canterbury
CT13AE,51.267062,1.060692,Canterbury
CT13AT,51.274072,1.08968,Canterbury
CT13HS,51.274338,1.085051,Canterbury
CT13RY,51.272419,1.069078,Canterbury
CT13ZR,51.265262,1.05835,Canterbury
CT102FE,51.356951,1.415636,Thanet
CT102QQ,51.358923,1.406301,Thanet
CT103JJ,51.371179,1.416006,Thanet
CT118JX,51.336431,1.425253,Thanet
CT119AG,51.334386,1.418265,Thanet
CT119DS,51.332809,1.419297,Thanet
CT119RT,51.334694,1.416034,Thanet
CT125FN,51.348577,1.321203,Thanet
CT125GD,51.34975,1.324577,Thanet
CT125HP,51.330323,1.381321,Thanet
CT126FG,51.343155,1.395135,Thanet
CT126JD,51.346796,1.387131,Thanet
CT126PB,51.349189,1.388054,Thanet
CT139FF,51.287759,1.344381,Dover
CT140EN,51.22932,1.345842,Dover
CT146EL,51.223771,1.402567,Dover
CT146ES,51.223039,1.403932,Dover
CT147EE,51.216276,1.402015,Dover
CT148JW,51.201578,1.357834,Dover
CT149FE,51.223566,1.397238,Dover
CT149JP,51.205618,1.384318,Dover
CT149QF,51.22331,1.390873,Dover
CT156DL,51.153376,1.383581,Dover
CT161BU,51.126501,1.312186,Dover
CT161PT,51.126291,1.315473,Dover
CT162HQ,51.150025,1.288857,Dover
CT162LX,51.134859,1.306108,Dover
CT163EH,51.153978,1.291613,Dover
CT163FG,51.16097,1.293727,Dover
CT163PN,51.152245,1.290517,Dover
CT170HL,51.131288,1.279891,Dover
CT170TQ,51.135385,1.298625,Dover
CT179JT,51.119565,1.288636,Dover
CT187SS,51.109762,1.161378,Folkestone and Hythe
CT194DP,51.086698,1.151094,Folkestone and Hythe
CT194RH,51.094725,1.150954,Folkestone and Hythe
CT194RJ,51.092765,1.149249,Folkestone and Hythe
CT195AS,51.084099,1.173996,Folkestone and Hythe
CT196DR,,,
CT28AJ,51.282259,1.072517,Canterbury
CT28AP,51.282297,1.071415,Canterbury
CT29JJ,51.310059,1.039889,Canterbury
CT201DW,51.079103,1.178766,Folkestone and Hythe
CT201JU,51.080949,1.184319,Folkestone and Hythe
CT202RD,51.080038,1.168534,Folkestone and Hythe
CT202SL,51.080516,1.172108,Folkestone and Hythe
CT214JN,51.083915,1.034631,Folkestone and Hythe
CT214PA,51.074536,1.013672,Folkestone and Hythe
CT215AD,51.071514,1.082319,Folkestone and Hythe
CT215AQ,51.071639,1.083683,Folkestone and Hythe
CT215BZ,51.073175,1.074234,Folkestone and Hythe
CT32AG,51.278011,1.286162,Dover
CT34AL,51.317355,1.175006,Canterbury
CT34GP,51.315392,1.176062,Canterbury
CT34NH,51.316937,1.17347,Canterbury
CT45DE,51.257316,1.134914,Canterbury
CT46AQ,51.176255,1.074933,Folkestone and Hythe
CT48DR,51.2437,0.967541,Ashford
CT51DB,51.356035,1.024388,Canterbury
CT53QT,51.356497,1.056483,Canterbury
CT53QZ,51.35816,1.056191,Canterbury
CT53RA,51.35776,1.056351,Canterbury
CT53SE,51.340841,1.012616,Canterbury
CT65AJ,51.371269,1.129892,Canterbury
CT65JY,51.37118,1.127184,Canterbury
CT65SE,51.366847,1.132493,Canterbury
CT66ED,51.367185,1.143681,Canterbury
CT66LE,51.364584,1.147094,Canterbury
CT67GQ,51.35873,1.131623,Canterbury
CT67LQ,51.331166,1.118989,Canterbury
CT67NE,51.351872,1.131413,Canterbury
CT68HY,51.370608,1.103707,Canterbury
CT68UE,51.369436,1.11771,Canterbury
CT79DQ,51.374637,1.305541,Thanet
CT79JS,51.378532,1.301726,Thanet
CT88QY,51.381618,1.338487,Thanet
CT91JT,51.386074,1.381637,Thanet
CT91LB,51.385817,1.382739,Thanet
CT91UX,51.384218,1.381126,Thanet
CT91XB,51.383735,1.380386,Thanet
CT91XJ,51.386593,1.377664,Thanet
CT92QY,51.388387,1.39558,Thanet
CT92RP,51.387401,1.397937,Thanet
CT94JG,51.368044,1.387693,Thanet
CT94NN,51.364263,1.390302,Thanet
CT95QX,51.38173,1.370076,Thanet
ME11EL,51.386601,0.50689,Medway
ME11FG,51.384873,0.512372,Medway
ME12AU,51.375905,0.510343,Medway
ME12DR,51.381355,0.505755,Medway
ME12LU,51.367791,0.502472,Medway
ME12PF,51.368609,0.508766,Medway
ME12QT,51.370042,0.51327,Medway
ME12UT,51.364059,0.507929,Medway
ME13EZ,51.350079,0.501377,Tonbridge and Malling
ME13PY,51.371497,0.482571,Medway
ME13XX,51.331732,0.46407,Tonbridge and Malling
ME101NR,51.342816,0.718365,Swale
ME102DG,51.349112,0.726105,Swale
ME102GE,51.364628,0.741423,Swale
ME102GR,51.365054,0.739394,Swale
ME102GU,51.365288,0.740916,Swale
ME102QL,51.35083,0.724914,Swale
ME102RT,51.36313,0.740112,Swale
ME103RY,51.346812,0.748704,Swale
ME103TB,51.342006,0.748833,Swale
ME104DD,51.338624,0.733439,Swale
ME104EE,51.332507,0.734267,Swale
ME104HE,51.330997,0.732296,Swale
ME104NU,51.338283,0.734984,Swale
ME104QZ,51.32974,0.733356,Swale
ME104RT,51.338757,0.742794,Swale
ME105AA,51.35051,0.71701,Swale
ME105JR,51.350487,0.722639,Swale
ME105TP,51.350998,0.719222,Swale
ME121TA,51.441808,0.750951,Swale
ME122QY,51.435555,0.768634,Swale
ME123AN,51.411326,0.790167,Swale
ME123AU,51.422842,0.776397,Swale
ME123FX,51.413046,0.801375,Swale
ME124NH,51.40745,0.907423,Swale
ME130RH,51.312225,0.860066,Swale
ME137FZ,51.317991,0.869238,Swale
ME137GU,51.316228,0.892608,Swale
ME138GD,51.311253,0.898466,Swale
ME141FP,51.280404,0.517378,Maidstone
ME141JL,51.274022,0.521389,Maidstone
ME141LH,51.275779,0.519564,Maidstone
ME141PT,51.276346,0.523724,Maidstone
ME141UT,51.277644,0.529014,Maidstone
ME141XJ,51.278487,0.525791,Maidstone
ME142TP,51.280881,0.526955,Maidstone
ME145DZ,51.274845,0.530768,Maidstone
ME145FY,51.284656,0.556461,Maidstone
ME145GD,51.281233,0.536869,Maidstone
ME145NZ,51.279769,0.549178,Maidstone
ME145PP,51.271055,0.538818,Maidstone
ME150AG,51.238955,0.518467,Maidstone
ME156AQ,51.260753,0.526956,Maidstone
ME156JF,51.260484,0.526912,Maidstone
ME156LP,51.270476,0.524837,Maidstone
ME156LU,51.270883,0.523898,Maidstone
ME156NE,51.262288,0.509953,Maidstone
ME156RJ,51.262833,0.508434,Maidstone
