locationId,providerId,name,registrationStatus,registrationDate,postalAddressLine1,postalAddressTownCity,postalAddressCounty,region,postalCode,mainPhoneNumber,localAuthority,numberOfBeds,currentRatings.overall.rating,currentRatings.overall.reportDate,regulatedActivities,gacServiceTypes
1-10048396988,1-9931659218,Harbour Medical Practice,Registered,2021-03-24,Folkestone Health Centre,Folkestone,,South East,CT20 1JY,01303220707,Kent,0.0,Good,2017-11-17,"[{'name': 'Maternity and midwifery services', 'code': 'RA11', 'contacts': []}, {'name': 'Family planning', 'code': 'RA15', 'contacts': []}, {'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': []}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': []}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': []}]","[{'name': 'Doctors/Gps', 'description': 'Doctors consultation service'}]"
1-10064258273,1-9491037344,Kent Case Management Ltd,Registered,2020-12-30,"The Stables, Bradbourne House,",West Malling,,South East,ME19 6DZ,07741497668,Kent,0.0,Good,2022-03-18,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Anna', 'personFamilyName': 'Fleming', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-10087632956,1-6192052130,Royalcare- Thanet,Registered,2020-12-23,Kent Innovation Centre,Broadstairs,Kent,South East,CT10 2QQ,01843838122,Kent,0.0,Requires improvement,2022-05-25,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'David', 'personFamilyName': 'Babu', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-1010200978,1-935571070,Ashlea House,Registered,2013-10-25,Bockhanger Lane,Ashford,Kent,South East,TN24 9BP,01233643635,Kent,4.0,Good,2019-07-12,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Marie Euphemia', 'personFamilyName': 'Mann', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
1-1010201117,1-935571070,Birch House,Registered,2013-10-25,The Street,Ashford,Kent,South East,TN26 2AF,01233758527,Kent,5.0,Not rated,,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': [{'personTitle': 'Miss', 'personGivenName': 'Joanne', 'personFamilyName': 'Lloyd', 'personRoles': ['Registered Manager']}, {'personTitle': 'Miss', 'personGivenName': 'Marie Euphemia', 'personFamilyName': 'Mann', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Residential homes', 'description': 'Care home service without nursing'}]"
1-1015358566,1-886871582,Lydd Dental Practice,Registered,2014-03-17,7 South Street,Romney Marsh,Kent,South East,TN29 9DQ,01797320826,Kent,0.0,Inspected but not rated,2020-03-23,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Bilal', 'personFamilyName': 'Afzal', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Bilal', 'personFamilyName': 'Afzal', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Bilal', 'personFamilyName': 'Afzal', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-1017435583,1-822551105,Bespoke Dental Care,Registered,2013-10-17,93 Lower Higham Road,Gravesend,Kent,South East,DA12 2NQ,,Kent,0.0,Inspected but not rated,2017-11-27,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Farzana', 'personFamilyName': 'Islam', 'personRoles': ['Registered Manager']}, {'personTitle': 'Mr', 'personGivenName': 'Colin Charles', 'personFamilyName': 'Orsbourn', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Farzana', 'personFamilyName': 'Islam', 'personRoles': ['Registered Manager']}, {'personTitle': 'Mr', 'personGivenName': 'Colin Charles', 'personFamilyName': 'Orsbourn', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Dr', 'personGivenName': 'Farzana', 'personFamilyName': 'Islam', 'personRoles': ['Registered Manager']}, {'personTitle': 'Mr', 'personGivenName': 'Colin Charles', 'personFamilyName': 'Orsbourn', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-10199981196,1-153032466,Fresh Dental & Implant Clinic,Registered,2021-02-19,6 Tolherst Court,Maidstone,Kent,South East,ME14 5SF,01622761067,Kent,0.0,Not rated,,"[{'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Diane Susan', 'personFamilyName': 'Harris', 'personRoles': ['Registered Manager']}]}, {'name': 'Surgical procedures', 'code': 'RA7', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Diane Susan', 'personFamilyName': 'Harris', 'personRoles': ['Registered Manager']}]}, {'name': 'Diagnostic and screening procedures', 'code': 'RA8', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Diane Susan', 'personFamilyName': 'Harris', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Dentist', 'description': 'Dental service'}]"
1-10200463066,1-3982604534,PCAS Kent Ltd,Registered,2021-01-14,Unit 5,Faversham,,South East,ME13 8GD,03300535919,Kent,0.0,Not rated,,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': []}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}]"
1-10204301199,1-118164017,Priory Supported Living Kent,Registered,2021-02-25,Buckland,Dover,,South East,CT17 0TQ,01304202010,Kent,0.0,Good,2022-11-11,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mrs', 'personGivenName': 'Karen Eva', 'personFamilyName': 'Gowers', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}, {'name': 'Supported living', 'description': 'Supported living service'}]"
1-10205172753,1-9928054001,Hothfield Neurological Rehabilitation Centre,Registered,2021-03-05,Bethersden Road,Ashford,,South East,TN26 1AZ,01233643272,Kent,32.0,Good,2022-09-06,"[{'name': 'Accommodation for persons who require nursing or personal care', 'code': 'RA2', 'contacts': []}, {'name': 'Treatment of disease, disorder or injury', 'code': 'RA5', 'contacts': []}]","[{'name': 'Nursing homes', 'description': 'Care home service with nursing'}, {'name': 'Rehabilitation (illness/injury)', 'description': 'Rehabilitation services'}]"
1-10212079624,1-102643252,SeeAbility - Kent Supported Living,Registered,2021-01-14,Laburnum House,Birchington,,South East,CT7 9DQ,07725424042,Kent,0.0,Good,2022-07-01,"[{'name': 'Personal care', 'code': 'RA1', 'contacts': [{'personTitle': 'Mr', 'personGivenName': 'Luke Bryan', 'personFamilyName': 'Ilett-Mackie', 'personRoles': ['Registered Manager']}]}]","[{'name': 'Homecare agencies', 'description': 'Domiciliary care service'}, {'name': 'Supported living', 'description': 'Supported living service'}]"
